dataset	no	nbSentences	elman	perf
UD_Arabic-NYUAD	10000	10000	0	1.00000000
UD_Arabic-NYUAD	1000	1000	0	1.00000000
UD_Arabic-NYUAD	100	100	0	1.00000000
UD_Arabic-NYUAD	10	10	0	1.00000000
