dataset	no	nbSentences	elman	perf
UD_Latin-ITTB	1	1780	0	0.99753811
UD_Latin-ITTB	2	2670	0	0.99829562
UD_Latin-ITTB	3	3560	0	0.99839030
UD_Latin-ITTB	4	4450	0	0.99791686
UD_Latin-ITTB	5	5340	0	0.99772749
UD_Latin-ITTB	6	6230	0	0.99763280
UD_Latin-ITTB	7	7120	0	0.99763280
UD_Latin-ITTB	8	8010	0	0.99753811
UD_Latin-ITTB	9	8900	0	0.99753811
UD_Norwegian-Bokmaal	0	890	0	0.99826470
UD_Norwegian-Bokmaal	1	1780	0	0.99856504
UD_Norwegian-Bokmaal	2	2670	0	0.99846493
UD_Norwegian-Bokmaal	3	3560	0	0.99726357
UD_Norwegian-Bokmaal	4	4450	0	0.99869852
UD_Norwegian-Bokmaal	5	5340	0	0.99879864
UD_Norwegian-Bokmaal	6	6230	0	0.99876527
UD_Norwegian-Bokmaal	7	7120	0	0.99879864
UD_Norwegian-Bokmaal	8	8010	0	0.99869852
UD_Norwegian-Bokmaal	9	8900	0	0.99899887
UD_Norwegian-Nynorsk	0	890	0	0.99842571
UD_Norwegian-Nynorsk	1	1780	0	0.99850644
UD_Norwegian-Nynorsk	2	2670	0	0.99814314
UD_Norwegian-Nynorsk	3	3560	0	0.99834497
UD_Norwegian-Nynorsk	4	4450	0	0.99931377
UD_Norwegian-Nynorsk	5	5340	0	0.99915230
UD_Norwegian-Nynorsk	6	6230	0	0.99903120
UD_Norwegian-Nynorsk	7	7120	0	0.99919267
UD_Norwegian-Nynorsk	8	8010	0	0.99907157
UD_Norwegian-Nynorsk	9	8900	0	0.99911194
UD_Portuguese-BR	0	890	0	0.99598010
UD_Portuguese-BR	1	1780	0	0.99574164
UD_Portuguese-BR	2	2670	0	0.99584384
UD_Portuguese-BR	3	3560	0	0.99553724
UD_Portuguese-BR	4	4450	0	0.99649111
UD_Portuguese-BR	5	5340	0	0.99843292
UD_Portuguese-BR	6	6230	0	0.99676364
UD_Portuguese-BR	7	7120	0	0.99686584
UD_Portuguese-BR	8	8010	0	0.99890986
UD_Portuguese-BR	9	8900	0	0.99880766
UD_Russian-SynTagRus	0	890	0	0.97344003
UD_Russian-SynTagRus	1	1780	0	0.98893334
UD_Russian-SynTagRus	2	2670	0	0.98917170
UD_Russian-SynTagRus	3	3560	0	0.98939304
UD_Russian-SynTagRus	4	4450	0	0.98963991
UD_Russian-SynTagRus	5	5340	0	0.99268749
UD_Russian-SynTagRus	6	6230	0	0.99086575
UD_Russian-SynTagRus	7	7120	0	0.99379416
UD_Russian-SynTagRus	8	8010	0	0.98334894
UD_Russian-SynTagRus	9	8900	0	0.99384524
UD_Spanish-AnCora	0	890	1	0.99883661
UD_Spanish-AnCora	1	1780	1	0.99879847
UD_Spanish-AnCora	2	2670	1	0.99912269
UD_Spanish-AnCora	3	3560	1	0.99815002
UD_Spanish-AnCora	4	4450	1	0.99895104
UD_Spanish-AnCora	5	5340	1	0.99795930
UD_Spanish-AnCora	6	6230	1	0.99855053
UD_Spanish-AnCora	7	7120	1	0.99851239
UD_Spanish-AnCora	8	8010	1	0.99879847
UD_Spanish-AnCora	9	8900	1	0.99822631
UD_Spanish	0	890	0	0.99948862
UD_Spanish	1	1780	0	0.99931816
UD_Spanish	2	2670	0	0.99948862
UD_Spanish	3	3560	0	0.99948862
UD_Spanish	4	4450	0	0.99931816
UD_Spanish	5	5340	0	0.99931816
UD_Spanish	6	6230	0	0.99931816
UD_Spanish	7	7120	0	0.99931816
UD_Spanish	8	8010	0	0.99855110
UD_Spanish	9	8900	0	0.99931816
